"charset","server","content_length","tcp_conversation_exchange","remote_ips","app_packets","dns_query_times","freq","app_packets_v2"
"iso-8859-1","nginx",263,7,2,9,2,47,"low"
"utf-8","Apache",15087,17,4,17,0,3,"low"
"iso-8859-1","nginx",162,31,3,39,8,39,"medium"
"iso-8859-1","Apache",345,12,3,14,2,21,"low"
"iso-8859-1","nginx",3692,25,4,35,10,48,"medium"
"iso-8859-1","Apache",957,7,1,11,4,32,"low"
"iso-8859-1","nginx",686,6,2,8,2,47,"low"
"us-ascii","Microsoft",324,7,3,7,0,0,"low"
"utf-8","nginx",15025,13,5,15,2,42,"low"
"us-ascii","Microsoft",324,9,4,11,2,11,"low"
"iso-8859-1","nginx",318,8,6,8,0,25,"low"
"iso-8859-1","Apache",224,4,2,4,0,11,"low"
"utf-8","Apache",4421,12,2,16,4,31,"low"
"iso-8859-1","Apache",240,8,2,10,2,23,"low"
"iso-8859-1","Apache",3985,40,16,46,6,0,"medium"
"iso-8859-1","nginx",6173,2,1,2,0,41,"low"
"iso-8859-1","Apache",319,7,2,9,2,22,"low"
"utf-8","other",1778,7,3,7,0,0,"low"
"us-ascii","Microsoft",324,6,4,6,0,0,"low"
"iso-8859-1","Apache",224,19,4,23,4,23,"medium"
"iso-8859-1","Apache",318,21,8,25,4,18,"medium"
"iso-8859-1","Apache",345,19,9,21,2,4,"medium"
"utf-8","Apache",756,23,15,27,4,5,"medium"
"us-ascii","Microsoft",324,5,4,5,0,1,"low"
"utf-8","nginx",658,11,4,15,4,50,"low"
"iso-8859-1","nginx",4166,24,3,30,6,60,"medium"
"iso-8859-1","Apache",962,9,4,11,2,19,"low"
"iso-8859-1","Apache",962,7,2,11,4,30,"low"
"iso-8859-1","Apache",962,7,2,11,4,30,"low"
"utf-8","Apache",3548,13,1,19,6,41,"low"
"iso-8859-1","nginx",5426,9,4,9,0,27,"low"
"iso-8859-1","Apache",345,43,2,47,4,29,"medium"
"utf-8","Apache",8756,38,3,44,6,36,"medium"
"utf-8","Apache",193,9,1,11,2,26,"low"
"utf-8","Apache",7967,6,4,8,2,21,"low"
"us-ascii","Microsoft",324,5,2,9,4,22,"low"
"us-ascii","Microsoft",324,5,3,5,0,2,"low"
"utf-8","Apache",8578,21,5,29,8,32,"medium"
"utf-8","Apache",10576,14,2,14,0,4,"low"
"us-ascii","Microsoft",324,17,7,23,6,20,"medium"
"utf-8","Amazon",12846,17,3,23,6,3,"medium"
"utf-8","other",6666,66,11,70,4,1,"high"
"iso-8859-1","Apache",445,28,8,30,2,5,"medium"
"us-ascii","Microsoft",324,33,4,39,6,0,"medium"
"iso-8859-1","Apache",7314,34,2,40,6,36,"medium"
"us-ascii","Microsoft",324,5,2,7,2,15,"low"
"iso-8859-1","Apache",26856,26,5,30,4,14,"medium"
"us-ascii","Microsoft",324,12,6,12,0,0,"low"
"utf-8","Apache",10210,5,2,5,0,11,"low"
"iso-8859-1","Apache",13684,15,7,15,0,0,"low"
"iso-8859-1","nginx",770,5,3,5,0,34,"low"
"utf-8","Apache",6813,17,10,17,0,0,"low"
"us-ascii","Microsoft",324,34,6,38,4,3,"medium"
"utf-8","other",20404,33,5,37,4,10,"medium"
"utf-8","Apache",7159,21,11,23,2,1,"medium"
"iso-8859-1","Apache",177,7,2,9,2,22,"low"
