iso_code,continent,location,last_updated_date,new_cases_per_million,new_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
AFG,Asia,Afghanistan,10/19/21,0.628,0.025,,,18.6,1803.987,597.029,9.59,64.83,0.511
OWID_AFR,,Africa,10/19/21,4.408,0.175,7.78,5.17,,,,,,
ALB,Europe,Albania,10/19/21,214.415,4.177,34.2,29.94,38,11803.431,304.195,10.08,78.57,0.795
DZA,Africa,Algeria,10/19/21,1.995,0.045,,,29.1,13913.839,278.364,6.73,76.88,0.748
AND,Europe,Andorra,10/19/21,25.855,0,,,,,109.135,7.97,83.73,0.868
AGO,Africa,Angola,10/19/21,5.452,0.236,11.16,4.24,16.8,5819.495,276.045,3.94,61.15,0.581
AIA,North America,Anguilla,10/15/21,,,63.13,60.54,,,,,81.88,
ATG,North America,Antigua and Barbuda,10/19/21,0,0,55.81,46.88,32.1,21490.943,191.511,13.17,77.02,0.778
ARG,South America,Argentina,10/19/21,28.571,0.724,69.18,54.29,31.9,18933.907,191.032,5.5,76.67,0.845
ARM,Asia,Armenia,10/19/21,355.106,12.466,11.59,5.73,35.7,8787.58,341.01,7.11,75.09,0.776
ABW,North America,Aruba,10/19/21,,,76.63,71.07,41.2,35973.781,,11.62,76.29,
OWID_ASI,,Asia,10/19/21,24.108,0.309,54.84,39.98,,,,,,
AUS,Oceania,Australia,10/19/21,81.316,0.737,71.58,57.21,37.9,44648.71,107.791,5.07,83.44,0.944
AUT,Europe,Austria,10/19/21,286.407,1.769,64.39,61.32,44.4,45436.686,145.183,6.35,81.54,0.922
AZE,Asia,Azerbaijan,10/19/21,205.608,1.467,48.68,41.56,32.4,15847.419,559.812,7.11,73,0.756
BHS,North America,Bahamas,10/19/21,176.361,0,33.66,27.89,34.3,27717.847,235.954,13.17,73.92,0.814
BHR,Asia,Bahrain,10/19/21,42.327,0.572,67.02,64.91,32.4,43290.705,151.689,16.52,77.29,0.852
BGD,Asia,Bangladesh,10/19/21,2.82,0.042,23.18,11.62,27.5,3523.984,298.003,8.38,72.59,0.632
BRB,North America,Barbados,10/19/21,1327.735,3.476,50.39,40.5,39.8,16978.068,170.05,13.57,79.19,0.814
BLR,Europe,Belarus,10/19/21,202.587,1.589,26.14,18.53,40.3,17167.967,443.129,5.18,74.79,0.823
BEL,Europe,Belgium,10/19/21,331.318,1.461,74.43,73.14,41.8,42658.576,114.898,4.29,81.63,0.931
BLZ,North America,Belize,10/19/21,792.759,2.47,49.38,35.69,25,7824.362,176.957,17.11,74.62,0.716
BEN,Africa,Benin,10/19/21,0,0,1.74,1.5,18.8,2064.236,235.848,0.99,61.77,0.545
