event_ID	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	dys_detect_v2	cost_controls	cost_controls_v2
1	Intellectual Property	51.71	Between 30 to 60 million	49.18	19	Low	780	195	Slow	50.2	High
2	Intellectual Property	51.08	Between 30 to 60 million	54.11	19	Low	276	443	Slow	48.09	Low
3	Identity	59.4	Between 30 to 60 million	52.94	28	Low	638	354	Slow	63.17	High
4	Personal	41.91	Between 30 to 60 million	44.17	95	High	1027	793	Slow	52.05	High
5	Personal	56.32	Between 30 to 60 million	57.96	4	Low	533	103	Fast	50	Low
6	Personal	46.01	Between 30 to 60 million	44.17	36	Moderate	832	216	Slow	40.65	Low
7	Intellectual Property	62.7	More than 60 million	65.49	100	High	1590	1034	Slow	56.7	High
8	Authentication Credentials	35.36	Between 30 to 60 million	35.39	28	Low	139	347	Slow	30.35	Low
9	Financial	49.6	Between 30 to 60 million	47.93	95	High	265	455	Slow	51.77	High
10	Health	43.91	Between 30 to 60 million	42.91	13	Low	215	620	Slow	42.06	Low
11	Intellectual Property	61.1	More than 60 million	60.47	100	High	374	79	Fast	58.23	High
12	Identity	44.94	Between 30 to 60 million	35.39	80	High	866	158	Slow	39.52	Low
13	Health	61.85	More than 60 million	61.72	47	Moderate	309	745	Slow	57.23	High
14	Financial	55.81	Between 30 to 60 million	49.18	28	Low	780	662	Slow	57.8	High
15	Authentication Credentials	45.27	Between 30 to 60 million	42.91	48	Moderate	307	778	Slow	44.73	Low
16	Personal	59.51	Between 30 to 60 million	55.45	58	Moderate	1756	312	Slow	61.34	High
17	Identity	50	Between 30 to 60 million	50	88	High	232	566	Slow	36.69	Low
18	Intellectual Property	56.78	Between 30 to 60 million	55.45	4	Low	455	500	Slow	63.29	High
19	Financial	44.02	Between 30 to 60 million	45.42	48	Moderate	470	273	Slow	51.73	High
20	Health	72.83	More than 60 million	73.38	80	High	1007	1022	Slow	64.42	High
21	Intellectual Property	47.49	Between 30 to 60 million	46.67	13	Low	184	235	Slow	61.79	High
22	Financial	50.34	Between 30 to 60 million	49.18	36	Moderate	719	268	Slow	64.98	High
23	Personal	54.33	Between 30 to 60 million	46.67	28	Low	397	693	Slow	51.24	High
24	Identity	42.65	Between 30 to 60 million	45.42	69	High	1203	860	Slow	43.35	Low
25	Intellectual Property	48.86	Between 30 to 60 million	46.67	58	Moderate	511	740	Slow	42.06	Low
26	Authentication Credentials	54.15	Between 30 to 60 million	57.96	47	Moderate	557	304	Slow	50	Low
27	Personal	29.15	Less than 30 million	34.13	4	Low	932	517	Slow	41.46	Low
28	Personal	39.06	Between 30 to 60 million	41.66	7	Low	811	168	Slow	55.4	High
29	Authentication Credentials	54.04	Between 30 to 60 million	55.45	58	Moderate	277	298	Slow	46.27	Low
30	Identity	62.07	More than 60 million	66.74	69	High	421	959	Slow	64.42	High
31	Authentication Credentials	48.97	Between 30 to 60 million	49.18	7	Low	409	185	Slow	49.63	Low
32	Identity	38.84	Between 30 to 60 million	36.64	36	Moderate	515	251	Slow	41.82	Low
33	Intellectual Property	42.76	Between 30 to 60 million	47.93	100	High	1468	961	Slow	47.72	Low
34	Identity	54.04	Between 30 to 60 million	55.45	58	Moderate	1201	36	Fast	54.88	High
35	Financial	46.42	Between 30 to 60 million	37.89	2	Low	841	479	Slow	52.58	High
36	Intellectual Property	63.95	More than 60 million	62.98	47	Moderate	836	597	Slow	58.23	High
37	Identity	41.28	Between 30 to 60 million	45.42	95	High	342	499	Slow	43.32	Low
38	Personal	47.38	Between 30 to 60 million	44.17	28	Low	529	48	Fast	35.16	Low
39	Authentication Credentials	41.17	Between 30 to 60 million	42.91	2	Low	560	209	Slow	36	Low
40	Identity	62.59	More than 60 million	62.98	36	Moderate	952	385	Slow	41.91	Low
41	Health	49.09	Between 30 to 60 million	51.69	7	Low	658	1021	Slow	52.49	High
42	Financial	49.43	Between 30 to 60 million	41.26	28	Low	618	573	Slow	52.01	High
43	Personal	21.75	Less than 30 million	21.59	100	High	886	240	Slow	39.4	Low
44	Financial	57.63	Between 30 to 60 million	59.22	2	Low	126	506	Slow	39.8	Low
45	Identity	52.16	Between 30 to 60 million	59.22	58	Moderate	146	567	Slow	51.77	High
46	Identity	65.65	More than 60 million	65.86	80	High	635	415	Slow	48.47	Low
47	Personal	31.15	Between 30 to 60 million	32.88	100	High	334	225	Slow	36.57	Low
48	Financial	32.63	Between 30 to 60 million	35.39	69	High	1806	640	Slow	46.68	Low
49	Identity	49.49	Between 30 to 60 million	45.42	2	Low	845	584	Slow	59.93	High
50	Intellectual Property	65.43	More than 60 million	65.49	58	Moderate	1773	377	Slow	59.93	High
51	Identity	67.54	More than 60 million	66.74	19	Low	423	580	Slow	55.69	High
52	Intellectual Property	71.45	More than 60 million	70.49	88	High	1030	461	Slow	50	Low
53	Intellectual Property	43.47	Between 30 to 60 million	46.14	47	Moderate	590	796	Slow	50	Low
54	Authentication Credentials	40.42	Between 30 to 60 million	37.63	36	Moderate	158	861	Slow	50	Low
55	Identity	24.61	Less than 30 million	23.18	19	Low	748	593	Slow	50	Low
56	Authentication Credentials	51.21	Between 30 to 60 million	46.83	88	High	239	505	Slow	50	Low
57	Identity	53.06	Between 30 to 60 million	52.09	47	Moderate	610	520	Slow	50	Low
58	Identity	50.74	Between 30 to 60 million	53.4	58	Moderate	1301	1006	Slow	50	Low
59	Financial	54.78	Between 30 to 60 million	54.72	95	High	956	987	Slow	50	Low
60	Identity	47.69	Between 30 to 60 million	56.03	47	Moderate	517	307	Slow	50	Low
61	Intellectual Property	60.93	More than 60 million	66.55	80	High	838	988	Slow	50	Low
62	Intellectual Property	40.42	Between 30 to 60 million	37.63	28	Low	530	889	Slow	50	Low
63	Identity	57.23	Between 30 to 60 million	56.03	47	Moderate	531	642	Slow	50	Low
64	Personal	37.37	Between 30 to 60 million	40.26	36	Moderate	689	23	Fast	50	Low
65	Financial	47.17	Between 30 to 60 million	45.52	95	High	1792	844	Slow	50	Low
66	Authentication Credentials	30.76	Between 30 to 60 million	35	80	High	582	16	Fast	50	Low
67	Identity	40.68	Between 30 to 60 million	42.89	47	Moderate	292	500	Slow	50	Low
68	Authentication Credentials	47.04	Between 30 to 60 million	42.89	7	Low	222	338	Slow	50	Low
69	Personal	44.12	Between 30 to 60 million	48.15	36	Moderate	768	789	Slow	50	Low
70	Intellectual Property	61.99	More than 60 million	66.55	13	Low	538	1088	Slow	50	Low
71	Financial	62.12	More than 60 million	58.66	36	Moderate	774	70	Fast	50	Low
72	Intellectual Property	56.37	Between 30 to 60 million	54.72	80	High	1496	221	Slow	50	Low
73	Health	49.94	Between 30 to 60 million	53.4	58	Moderate	66	906	Slow	50	Low
74	Authentication Credentials	61.39	More than 60 million	59.98	28	Low	386	203	Slow	50	Low
75	Authentication Credentials	29.05	Less than 30 million	37.25	80	High	1046	788	Slow	50	Low
76	Personal	37.11	Between 30 to 60 million	35	36	Moderate	952	842	Slow	50	Low
77	Intellectual Property	61.66	More than 60 million	65.23	58	Moderate	422	447	Slow	50	Low
78	Authentication Credentials	42.98	Between 30 to 60 million	43.98	19	Low	660	75	Fast	50	Low
79	Financial	38.85	Between 30 to 60 million	42.04	7	Low	971	304	Slow	55.49	High
80	Intellectual Property	62.05	More than 60 million	63.65	13	Low	502	635	Slow	50.82	High
81	Authentication Credentials	64.93	More than 60 million	66.05	80	High	989	428	Slow	65.74	High
82	Intellectual Property	42.6	Between 30 to 60 million	48.04	7	Low	285	609	Slow	53.27	High
83	Financial	22.87	Less than 30 million	25.7	13	Low	484	282	Slow	50.82	High
84	Intellectual Property	58.71	Between 30 to 60 million	51.65	28	Low	194	901	Slow	54.34	High
85	Personal	32.22	Between 30 to 60 million	33.64	88	High	481	605	Slow	53.42	High
86	Identity	67.04	More than 60 million	69.98	47	Moderate	401	462	Slow	49.9	Low
87	Personal	34.76	Between 30 to 60 million	28.83	80	High	372	488	Slow	40.79	Low
88	Identity	46.01	Between 30 to 60 million	46.84	88	High	316	1064	Slow	50.66	High
89	Personal	40.24	Between 30 to 60 million	42.04	13	Low	533	1018	Slow	52.5	High
90	Personal	39.37	Between 30 to 60 million	38.44	69	High	245	482	Slow	47.3	Low
91	Intellectual Property	58.3	Between 30 to 60 million	57.65	69	High	946	1084	Slow	50.44	High
92	Intellectual Property	43.76	Between 30 to 60 million	43.24	36	Moderate	102	915	Slow	48.22	Low
93	Identity	59.68	Between 30 to 60 million	57.65	80	High	323	267	Slow	48.22	Low
94	Personal	45.7	Between 30 to 60 million	55.22	47	Moderate	886	243	Slow	48.82	Low
95	Authentication Credentials	28.13	Less than 30 million	20.43	47	Moderate	496	347	Slow	26.25	Low
96	Personal	43.4	Between 30 to 60 million	44.15	58	Moderate	1483	920	Slow	53.8	High
97	Authentication Credentials	50	Between 30 to 60 million	50	47	Moderate	737	980	Slow	45.68	Low
98	Authentication Credentials	42.49	Between 30 to 60 million	45.64	7	Low	536	546	Slow	53.42	High
99	Financial	49.24	Between 30 to 60 million	56.45	47	Moderate	126	1018	Slow	44.16	Low
100	Personal	40.87	Between 30 to 60 million	40.84	47	Moderate	103	515	Slow	40.79	Low
101	Personal	63.32	More than 60 million	61.25	4	Low	167	149	Slow	44.85	Low
102	Personal	58.71	Between 30 to 60 million	51.65	4	Low	542	117	Fast	40.03	Low
103	Authentication Credentials	56.68	Between 30 to 60 million	52.85	36	Moderate	122	850	Slow	41.02	Low
104	Intellectual Property	63.32	More than 60 million	61.25	58	Moderate	1183	1052	Slow	44.16	Low
105	Personal	45.78	Between 30 to 60 million	42.04	28	Low	136	623	Slow	55.71	High
106	Financial	49.41	Between 30 to 60 million	45.64	80	High	1578	212	Slow	36.28	Low
107	Financial	51.78	Between 30 to 60 million	51.65	47	Moderate	994	752	Slow	52.12	High
108	Personal	42.37	Between 30 to 60 million	43.24	95	High	1363	14	Fast	49.9	Low
109	Health	67.3	More than 60 million	72.06	47	Moderate	585	37	Fast	56.63	High
110	Identity	49.76	Between 30 to 60 million	52.85	47	Moderate	273	269	Slow	53.8	High
111	Health	52.76	Between 30 to 60 million	57.65	47	Moderate	799	94	Fast	52.5	High
112	Financial	44.51	Between 30 to 60 million	44.44	80	High	1589	594	Slow	42.02	Low
113	Intellectual Property	58.01	Between 30 to 60 million	52.76	58	Moderate	1172	1073	Slow	48.22	Low
114	Intellectual Property	53.8	Between 30 to 60 million	50.45	58	Moderate	1281	187	Slow	41.94	Low
115	Identity	66.95	More than 60 million	64.85	69	High	173	1069	Slow	52.19	High
116	Identity	47.28	Between 30 to 60 million	44.44	58	Moderate	1232	1001	Slow	49.52	Low
117	Identity	69.95	More than 60 million	69.65	88	High	95	615	Slow	57.55	High
118	Authentication Credentials	41.97	Between 30 to 60 million	49.24	80	High	570	242	Slow	59.46	High
