event_ID	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	cost_controls
1	Intellectual Property	51.71	Between 30 to 60 million	49.18	19	Low	780	195	50.2
2	Intellectual Property	51.08	Between 30 to 60 million	54.11	19	Low	276	443	48.09
3	Identity	59.4	Between 30 to 60 million	52.94	28	Low	638	354	63.17
4	Personal	41.91	Between 30 to 60 million	44.17	95	High	1027	793	52.05
5	Personal	56.32	Between 30 to 60 million	57.96	4	Low	533	103	50
6	Personal	46.01	Between 30 to 60 million	44.17	36	Low	832	216	40.65
7	Intellectual Property	62.7	More than 60 million	65.49	100	High	1590	1034	56.7
8	Authentication Credentials	35.36	Between 30 to 60 million	35.39	28	Low	139	347	30.35
9	Financial	49.6	Between 30 to 60 million	47.93	95	High	265	455	51.77
10	Health	43.91	Between 30 to 60 million	42.91	13	Low	215	620	42.06
11	Intellectual Property	61.1	More than 60 million	60.47	100	High	374	79	58.23
12	Identity	44.94	Between 30 to 60 million	35.39	80	High	866	158	39.52
13	Health	61.85	More than 60 million	61.72	47	Low	309	745	57.23
14	Financial	55.81	Between 30 to 60 million	49.18	28	Low	780	662	57.8
15	Authentication Credentials	45.27	Between 30 to 60 million	42.91	48	Low	307	778	44.73
16	Personal	59.51	Between 30 to 60 million	55.45	58	High	1756	312	61.34
17	Identity	50	Between 30 to 60 million	50	88	High	232	566	36.69
18	Intellectual Property	56.78	Between 30 to 60 million	55.45	4	Low	455	500	63.29
19	Financial	44.02	Between 30 to 60 million	45.42	48	Low	470	273	51.73
20	Health	72.83	More than 60 million	73.38	80	High	1007	1022	64.42
21	Intellectual Property	47.49	Between 30 to 60 million	46.67	13	Low	184	235	61.79
22	Financial	50.34	Between 30 to 60 million	49.18	36	Low	719	268	64.98
23	Personal	54.33	Between 30 to 60 million	46.67	28	Low	397	693	51.24
24	Identity	42.65	Between 30 to 60 million	45.42	69	High	1203	860	43.35
25	Intellectual Property	48.86	Between 30 to 60 million	46.67	58	High	511	740	42.06
26	Authentication Credentials	54.15	Between 30 to 60 million	57.96	47	Low	557	304	50
27	Personal	29.15	Less than 30 million	34.13	4	Low	932	517	41.46
