event_ID	fin_loss	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	cost_controls
1	50	Intellectual Property	51.71	Between 30 to 60 million	49.18	19	Low	780	195	50.2
2	56.78	Intellectual Property	51.08	Between 30 to 60 million	54.11	19	Low	276	443	48.09
3	44.02	Identity	59.4	Between 30 to 60 million	52.94	28	Low	638	354	63.17
4	72.83	Personal	41.91	Between 30 to 60 million	44.17	95	High	1027	793	52.05
5	47.49	Personal	56.32	Between 30 to 60 million	57.96	4	Low	533	103	50
6	50.34	Personal	46.01	Between 30 to 60 million	44.17	36	Low	832	216	40.65
7	54.33	Intellectual Property	62.7	More than 60 million	65.49	100	High	1590	1034	56.7
8	42.65	Authentication Credentials	35.36	Between 30 to 60 million	35.39	28	Low	139	347	30.35
9	48.86	Financial	49.6	Between 30 to 60 million	47.93	95	High	265	455	51.77
10	54.15	Health	43.91	Between 30 to 60 million	42.91	13	Low	215	620	42.06
11	29.15	Intellectual Property	61.1	More than 60 million	60.47	100	High	374	79	58.23
12	39.06	Identity	44.94	Between 30 to 60 million	35.39	80	High	866	158	39.52
13	54.04	Health	61.85	More than 60 million	61.72	47	Low	309	745	57.23
14	62.07	Financial	55.81	Between 30 to 60 million	49.18	28	Low	780	662	57.8
15	48.97	Authentication Credentials	45.27	Between 30 to 60 million	42.91	48	Low	307	778	44.73
16	38.84	Personal	59.51	Between 30 to 60 million	55.45	58	High	1756	312	61.34
17	42.76	Identity	50	Between 30 to 60 million	50	88	High	232	566	36.69
18	54.04	Intellectual Property	56.78	Between 30 to 60 million	55.45	4	Low	455	500	63.29
19	46.42	Financial	44.02	Between 30 to 60 million	45.42	48	Low	470	273	51.73
20	63.95	Health	72.83	More than 60 million	73.38	80	High	1007	1022	64.42
21	41.28	Intellectual Property	47.49	Between 30 to 60 million	46.67	13	Low	184	235	61.79
22	47.38	Financial	50.34	Between 30 to 60 million	49.18	36	Low	719	268	64.98
23	41.17	Personal	54.33	Between 30 to 60 million	46.67	28	Low	397	693	51.24
24	62.59	Identity	42.65	Between 30 to 60 million	45.42	69	High	1203	860	43.35
25	49.09	Intellectual Property	48.86	Between 30 to 60 million	46.67	58	High	511	740	42.06
26	49.43	Authentication Credentials	54.15	Between 30 to 60 million	57.96	47	Low	557	304	50
27	21.75	Personal	29.15	Less than 30 million	34.13	4	Low	932	517	41.46
28	42.28	Personal	39.06	Between 30 to 60 million	41.66	7	Low	811	168	55.4
29	35.23	Authentication Credentials	54.04	Between 30 to 60 million	55.45	58	High	277	298	46.27
30	51.06	Identity	62.07	More than 60 million	66.74	69	High	421	959	64.42
31	44.91	Authentication Credentials	48.97	Between 30 to 60 million	49.18	7	Low	409	185	49.63
32	51.06	Identity	38.84	Between 30 to 60 million	36.64	36	Low	515	251	41.82
33	63.09	Intellectual Property	42.76	Between 30 to 60 million	47.93	100	High	1468	961	47.72
34	53.69	Identity	54.04	Between 30 to 60 million	55.45	58	High	1201	36	54.88
35	31.42	Financial	46.42	Between 30 to 60 million	37.89	2	Low	841	479	52.58
36	57.22	Intellectual Property	63.95	More than 60 million	62.98	47	Low	836	597	58.23
37	55.76	Identity	41.28	Between 30 to 60 million	45.42	95	High	342	499	43.32
38	37.58	Personal	47.38	Between 30 to 60 million	44.17	28	Low	529	48	35.16
39	31.98	Authentication Credentials	41.17	Between 30 to 60 million	42.91	2	Low	560	209	36
40	55.76	Identity	62.59	More than 60 million	62.98	36	Low	952	385	41.91
41	67.79	Health	49.09	Between 30 to 60 million	51.69	7	Low	658	1021	52.49
42	41.1	Financial	49.43	Between 30 to 60 million	41.26	28	Low	618	573	52.01
43	19.39	Personal	21.75	Less than 30 million	21.59	100	High	886	240	39.4
44	44.01	Financial	57.63	Between 30 to 60 million	59.22	2	Low	126	506	39.8
45	54.87	Identity	52.16	Between 30 to 60 million	59.22	58	High	146	567	51.77
46	52.52	Identity	65.65	More than 60 million	65.86	80	High	635	415	48.47
47	44.91	Personal	31.15	Between 30 to 60 million	32.88	100	High	334	225	36.57
48	35.23	Financial	32.63	Between 30 to 60 million	35.39	69	High	1806	640	46.68
49	55.76	Identity	49.49	Between 30 to 60 million	45.42	2	Low	845	584	59.93
50	59.57	Intellectual Property	65.43	More than 60 million	65.49	58	High	1773	377	59.93
51	53.41	Identity	67.54	More than 60 million	66.74	19	Low	423	580	55.69
52	63.11	Intellectual Property	71.45	More than 60 million	70.49	88	High	1030	461	50
53	55.82	Intellectual Property	43.47	Between 30 to 60 million	46.14	47	Low	590	796	50
54	21.34	Authentication Credentials	40.42	Between 30 to 60 million	37.63	36	Low	158	861	50
55	51.13	Identity	24.61	Less than 30 million	23.18	19	Low	748	593	50
56	49.83	Authentication Credentials	51.21	Between 30 to 60 million	46.83	88	High	239	505	50
57	52.42	Identity	53.06	Between 30 to 60 million	52.09	47	Low	610	520	50
58	55.33	Identity	50.74	Between 30 to 60 million	53.4	58	High	1301	1006	50
59	49.52	Financial	54.78	Between 30 to 60 million	54.72	95	High	956	987	50
60	53.72	Identity	47.69	Between 30 to 60 million	56.03	47	Low	517	307	50
61	57.92	Intellectual Property	60.93	More than 60 million	66.55	80	High	838	988	50
62	63.11	Intellectual Property	40.42	Between 30 to 60 million	37.63	28	Low	530	889	50
63	55.64	Identity	57.23	Between 30 to 60 million	56.03	47	Low	531	642	50
64	44.64	Personal	37.37	Between 30 to 60 million	40.26	36	Low	689	23	50
65	35.92	Financial	47.17	Between 30 to 60 million	45.52	95	High	1792	844	50
66	33.64	Authentication Credentials	30.76	Between 30 to 60 million	35	80	High	582	16	50
67	55.02	Identity	40.68	Between 30 to 60 million	42.89	47	Low	292	500	50
68	37.53	Authentication Credentials	47.04	Between 30 to 60 million	42.89	7	Low	222	338	50
69	33.64	Personal	44.12	Between 30 to 60 million	48.15	36	Low	768	789	50
70	59.22	Intellectual Property	61.99	More than 60 million	66.55	13	Low	538	1088	50
71	40.12	Financial	62.12	More than 60 million	58.66	36	Low	774	70	50
72	57.92	Intellectual Property	56.37	Between 30 to 60 million	54.72	80	High	1496	221	50
73	65.71	Health	49.94	Between 30 to 60 million	53.4	58	High	66	906	50
74	49.83	Authentication Credentials	61.39	More than 60 million	59.98	28	Low	386	203	50
75	35.61	Authentication Credentials	29.05	Less than 30 million	37.25	80	High	1046	788	50
76	41.11	Personal	37.11	Between 30 to 60 million	35	36	Low	952	842	50
77	60.52	Intellectual Property	61.66	More than 60 million	65.23	58	High	422	447	50
78	43.34	Authentication Credentials	42.98	Between 30 to 60 million	43.98	19	Low	660	75	50
79	47.29	Financial	38.85	Between 30 to 60 million	42.04	7	Low	971	304	55.49
80	57.7	Intellectual Property	62.05	More than 60 million	63.65	13	Low	502	635	50.82
81	44.7	Authentication Credentials	64.93	More than 60 million	66.05	80	High	989	428	65.74
82	56.55	Intellectual Property	42.6	Between 30 to 60 million	48.04	7	Low	285	609	53.27
83	45.86	Financial	22.87	Less than 30 million	25.7	13	Low	484	282	50.82
84	58.86	Intellectual Property	58.71	Between 30 to 60 million	51.65	28	Low	194	901	54.34
85	24.48	Personal	32.22	Between 30 to 60 million	33.64	88	High	481	605	53.42
86	51.92	Identity	67.04	More than 60 million	69.98	47	Low	401	462	49.9
87	42.11	Personal	34.76	Between 30 to 60 million	28.83	80	High	372	488	40.79
88	54.23	Identity	46.01	Between 30 to 60 million	46.84	88	High	316	1064	50.66
89	44.7	Personal	40.24	Between 30 to 60 million	42.04	13	Low	533	1018	52.5
90	43.54	Personal	39.37	Between 30 to 60 million	38.44	69	High	245	482	47.3
91	56.82	Intellectual Property	58.3	Between 30 to 60 million	57.65	69	High	946	1084	50.44
92	60.29	Intellectual Property	43.76	Between 30 to 60 million	43.24	36	Low	102	915	48.22
93	50.48	Identity	59.68	Between 30 to 60 million	57.65	80	High	323	267	48.22
94	36.6	Personal	45.7	Between 30 to 60 million	55.22	47	Low	886	243	48.82
95	31.42	Authentication Credentials	28.13	Less than 30 million	20.43	47	Low	496	347	26.25
96	43.54	Personal	43.4	Between 30 to 60 million	44.15	58	High	1483	920	53.8
97	50	Authentication Credentials	50	Between 30 to 60 million	50	47	Low	737	980	45.68
98	47.29	Authentication Credentials	42.49	Between 30 to 60 million	45.64	7	Low	536	546	53.42
99	49.6	Financial	49.24	Between 30 to 60 million	56.45	47	Low	126	1018	44.16
100	26.79	Personal	40.87	Between 30 to 60 million	40.84	47	Low	103	515	40.79
101	49.88	Personal	63.32	More than 60 million	61.25	4	Low	167	149	44.85
102	35.45	Personal	58.71	Between 30 to 60 million	51.65	4	Low	542	117	40.03
103	48.45	Authentication Credentials	56.68	Between 30 to 60 million	52.85	36	Low	122	850	41.02
104	62.33	Intellectual Property	63.32	More than 60 million	61.25	58	High	1183	1052	44.16
105	45.58	Personal	45.78	Between 30 to 60 million	42.04	28	Low	136	623	55.71
106	43.82	Financial	49.41	Between 30 to 60 million	45.64	80	High	1578	212	36.28
107	33.74	Financial	51.78	Between 30 to 60 million	51.65	47	Low	994	752	52.12
108	42.11	Personal	42.37	Between 30 to 60 million	43.24	95	High	1363	14	49.9
109	69.82	Health	67.3	More than 60 million	72.06	47	Low	585	37	56.63
110	55.39	Identity	49.76	Between 30 to 60 million	52.85	47	Low	273	269	53.8
111	66.35	Health	52.76	Between 30 to 60 million	57.65	47	Low	799	94	52.5
112	47.01	Financial	44.51	Between 30 to 60 million	44.44	80	High	1589	594	42.02
113	56.82	Intellectual Property	58.01	Between 30 to 60 million	52.76	58	High	1172	1073	48.22
114	57.98	Intellectual Property	53.8	Between 30 to 60 million	50.45	58	High	1281	187	41.94
115	54.23	Identity	66.95	More than 60 million	64.85	69	High	173	1069	52.19
116	50.76	Identity	47.28	Between 30 to 60 million	44.44	58	High	1232	1001	49.52
117	51.92	Identity	69.95	More than 60 million	69.65	88	High	95	615	57.55
118	49.33	Authentication Credentials	41.97	Between 30 to 60 million	49.24	80	High	570	242	59.46
119	44.98	Authentication Credentials	57.66	Between 30 to 60 million	58.85	4	Low	234	192	54.03
120	56.55	Intellectual Property	49.41	Between 30 to 60 million	45.64	95	High	1244	357	36.35
121	14.67	Personal	48.14	Between 30 to 60 million	48.04	47	Low	763	244	42.63
122	54.23	Identity	62.05	More than 60 million	63.65	100	High	1782	368	51.2
123	45.86	Authentication Credentials	43.01	Between 30 to 60 million	42.04	4	Low	973	83	42.63
124	57.98	Intellectual Property	57.55	Between 30 to 60 million	56.45	2	Low	314	789	74.31
125	55.39	Identity	53.8	Between 30 to 60 million	50.45	80	High	670	22	45.08
126	49.33	Financial	34.47	Between 30 to 60 million	37.24	80	High	732	74	37.58
127	56.82	Intellectual Property	39.14	Between 30 to 60 million	33.64	36	Low	638	270	34.6
128	43.54	Personal	60.21	Between 30 to 60 million	54.05	47	Low	591	90	50.82
129	37.48	Financial	34.47	Between 30 to 60 million	37.24	58	High	1311	915	45.77
130	59.14	Intellectual Property	58.82	Between 30 to 60 million	54.05	36	Low	892	1087	57.78
131	60.29	Intellectual Property	46.76	Between 30 to 60 million	48.04	13	Low	530	613	57.55
132	41.51	Financial	63.32	More than 60 million	61.25	19	Low	989	241	49.9
133	44.42	Personal	40.24	Between 30 to 60 million	42.04	36	Low	827	573	38.35
134	50.48	Identity	41.22	Between 30 to 60 million	48.04	47	Low	355	702	57.01
135	58.25	Intellectual Property	42.08	Between 30 to 60 million	51.65	69	High	489	970	47.3
136	57.98	Intellectual Property	58.3	Between 30 to 60 million	57.65	69	High	1250	767	73.24
137	43.54	Financial	48.14	Between 30 to 60 million	48.04	19	Low	770	133	56.25
138	43.27	Personal	43.46	Between 30 to 60 million	51.65	19	Low	807	769	42.86
139	61.45	Intellectual Property	58.18	Between 30 to 60 million	55.25	80	High	869	237	66.12
140	48.17	Financial	53.94	Between 30 to 60 million	51.41	2	Low	616	1057	41.71
141	67.51	Health	58.18	Between 30 to 60 million	55.25	80	High	1131	22	45.46
142	62.33	Intellectual Property	48.89	Between 30 to 60 million	49.24	100	High	51	934	51.74
143	50	Personal	50	Between 30 to 60 million	50	48	Low	558	1027	50
144	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	672	653	50
145	64.07	Health	54.63	Between 30 to 60 million	55.97	58	High	193	563	50
146	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	910	294	50
147	50	Personal	50	Between 30 to 60 million	50	48	Low	548	821	50
148	50	Personal	50	Between 30 to 60 million	50	48	Low	238	421	50
149	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	414	657	50
150	50	Financial	50	Between 30 to 60 million	50	48	Low	497	1066	50
151	50	Financial	50	Between 30 to 60 million	50	13	Low	959	1002	50
152	48.47	Personal	49.08	Between 30 to 60 million	54.69	88	High	321	874	50
153	45.84	Authentication Credentials	56.89	Between 30 to 60 million	54.69	69	High	927	933	50
154	43.2	Financial	55.91	Between 30 to 60 million	50.94	80	High	361	1076	50
155	50	Financial	50	Between 30 to 60 million	50	48	Low	948	901	50
156	54.36	Identity	50.26	Between 30 to 60 million	47.19	80	High	95	227	50
157	56.44	Intellectual Property	55.91	Between 30 to 60 million	50.94	58	High	1335	948	50
158	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	166	610	50
159	50	Financial	50	Between 30 to 60 million	50	48	Low	374	835	50
160	44.38	Financial	44.48	Between 30 to 60 million	40.93	58	High	552	723	50
161	50	Financial	50	Between 30 to 60 million	50	48	Low	507	411	50
162	50	Financial	50	Between 30 to 60 million	50	48	Low	214	434	50
163	55.26	Identity	64.32	More than 60 million	68.79	100	High	1681	456	50
164	39.67	Personal	25.17	Less than 30 million	35.83	36	Low	492	1026	50
165	50	Financial	50	Between 30 to 60 million	50	48	Low	204	593	50
166	65.25	Health	53.18	Between 30 to 60 million	58.45	80	High	129	499	50
167	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	440	1083	50
168	27.32	Financial	31.61	Between 30 to 60 million	33.43	4	Low	421	808	50
169	61.71	Intellectual Property	55.58	Between 30 to 60 million	59.7	80	High	1331	79	50
170	22.33	Personal	12.96	Less than 30 million	19.67	47	Low	535	188	50
171	50	Financial	50	Between 30 to 60 million	50	48	Low	428	365	50
172	64.07	Health	51.1	Between 30 to 60 million	48.44	7	Low	867	257	50
173	55.54	Identity	43.04	Between 30 to 60 million	43.43	28	Low	708	664	50
174	46.73	Authentication Credentials	41.04	Between 30 to 60 million	39.31	47	Low	265	398	50
175	53.19	Identity	42.2	Between 30 to 60 million	42.18	58	High	927	503	50
176	50.83	Identity	64.36	More than 60 million	63.45	19	Low	813	839	50
177	60.25	Intellectual Property	52.92	Between 30 to 60 million	53.44	13	Low	367	162	50
178	59.97	Intellectual Property	47.98	Between 30 to 60 million	48.44	48	Low	497	434	50
179	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	733	748	50
180	50	Personal	50	Between 30 to 60 million	50	48	Low	857	243	50
181	55.26	Identity	55.45	Between 30 to 60 million	57.19	95	High	835	370	50
182	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	113	624	50
183	49.37	Authentication Credentials	53.78	Between 30 to 60 million	43.16	80	High	458	24	50
184	51.73	Identity	51.1	Between 30 to 60 million	48.44	47	Low	209	295	50
185	50	Personal	50	Between 30 to 60 million	50	2	Low	670	102	50
186	58.8	Intellectual Property	57.99	Between 30 to 60 million	60.95	95	High	324	444	50
187	47.91	Financial	56.76	Between 30 to 60 million	52.19	19	Low	807	684	50
188	38.49	Financial	54.35	Between 30 to 60 million	50.94	7	Low	881	10	50
189	50	Financial	50	Between 30 to 60 million	50	48	Low	176	993	50
190	55.54	Identity	54.35	Between 30 to 60 million	50.94	7	Low	569	17	50
191	50	Personal	50	Between 30 to 60 million	50	48	Low	721	1033	50
192	39.67	Authentication Credentials	44.61	Between 30 to 60 million	43.43	36	Low	486	727	50
193	50	Personal	50	Between 30 to 60 million	50	58	High	1461	1092	50
194	54.08	Identity	40.64	Between 30 to 60 million	42.18	58	High	491	1088	50
195	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	865	237	50
196	56.72	Intellectual Property	50.64	Between 30 to 60 million	54.69	58	High	863	942	50
197	61.43	Intellectual Property	49.8	Between 30 to 60 million	53.44	4	Low	244	399	50
198	50	Personal	50	Between 30 to 60 million	50	48	Low	600	187	50
199	62.61	Intellectual Property	51.36	Between 30 to 60 million	53.44	36	Low	315	957	50
200	59.08	Intellectual Property	51.95	Between 30 to 60 million	49.69	88	High	789	839	50
201	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	600	428	50
202	56.72	Intellectual Property	55.16	Between 30 to 60 million	52.13	80	High	1614	666	50
203	54.36	Identity	64.94	More than 60 million	59.7	88	High	887	111	50
204	50	Financial	50	Between 30 to 60 million	50	48	Low	692	258	50
205	50	Financial	50	Between 30 to 60 million	50	48	Low	731	145	50
206	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	549	958	50
207	64.07	Health	53.51	Between 30 to 60 million	49.69	36	Low	618	1088	50
208	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	136	90	50
209	50	Financial	50	Between 30 to 60 million	50	48	Low	916	432	50
210	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	311	382	50
211	61.71	Intellectual Property	66.33	More than 60 million	71.77	7	Low	546	478	50
212	50	Financial	50	Between 30 to 60 million	50	48	Low	134	223	50
213	61.43	Intellectual Property	61.24	More than 60 million	63.45	80	High	126	932	50
214	50	Financial	50	Between 30 to 60 million	50	48	Low	784	87	50
215	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	585	47	50
216	50	Financial	50	Between 30 to 60 million	50	48	Low	629	364	50
217	50	Financial	50	Between 30 to 60 million	50	36	Low	136	626	50
218	77.03	Health	63.51	More than 60 million	62.2	100	High	1428	650	50
219	51.73	Identity	50.26	Between 30 to 60 million	47.19	36	Low	816	951	50
220	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	431	568	50
221	56.72	Intellectual Property	60.26	Between 30 to 60 million	59.7	95	High	1756	274	50
222	50	Financial	50	Between 30 to 60 million	50	48	Low	201	874	50
223	53.19	Identity	66.89	More than 60 million	67.2	28	Low	462	762	50
224	50	Financial	50	Between 30 to 60 million	50	48	Low	434	725	50
225	32.32	Authentication Credentials	44.35	Between 30 to 60 million	38.43	7	Low	756	294	50
226	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	697	895	50
227	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	417	192	50
228	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	491	93	50
229	50	Financial	50	Between 30 to 60 million	50	48	Low	249	726	50
230	52.01	Identity	44.61	Between 30 to 60 million	43.43	58	High	939	606	50
231	45.27	Financial	47.85	Between 30 to 60 million	45.94	28	Low	758	781	50
232	40.84	Financial	52.66	Between 30 to 60 million	48.44	47	Low	931	426	50
233	44.38	Personal	46.88	Between 30 to 60 million	42.18	36	Low	671	993	50
234	45.56	Financial	63.77	More than 60 million	67.2	95	High	322	314	50
235	39.67	Financial	35.96	Between 30 to 60 million	42.18	69	High	476	694	50
236	50	Authentication Credentials	50	Between 30 to 60 million	50	48	Low	742	734	50
237	50	Personal	30.64	Between 30 to 60 million	29.67	48	Low	702	1001	50
238	50	Financial	50	Between 30 to 60 million	50	48	Low	863	930	50
239	37.31	Personal	44.86	Between 30 to 60 million	48.44	69	High	84	1029	50
240	39.38	Financial	45.45	Between 30 to 60 million	44.68	19	Low	417	776	50
241	50	Personal	50	Between 30 to 60 million	50	48	Low	775	994	50
242	50	Financial	50	Between 30 to 60 million	50	48	Low	302	591	50
243	43.2	Financial	40.51	Between 30 to 60 million	39.68	28	Low	316	731	50
